CountryName,Date,new_cases,Search Index
Italy,2021-07-25,37355.0,27.0
Italy,2021-08-01,40656.0,0.0
Italy,2021-08-08,44324.0,29.0
Italy,2021-08-15,43683.0,0.0
Italy,2021-08-22,45601.0,19.0
Italy,2021-08-29,41834.0,18.0
Italy,2021-09-05,35623.0,19.0
Italy,2021-09-12,30526.0,9.0
Italy,2021-09-19,24940.0,0.0
Italy,2021-09-26,21852.0,37.0
Italy,2021-10-03,18971.0,0.0
Italy,2021-10-10,17426.0,0.0
Italy,2021-10-17,21998.0,10.0
Italy,2021-10-24,29978.0,0.0
Italy,2021-10-31,34785.0,10.0
Italy,2021-11-07,50271.0,19.0
Italy,2021-11-14,63485.0,19.0
Italy,2021-11-21,78910.0,19.0
Italy,2021-11-28,99181.0,0.0
Italy,2021-12-05,112233.0,10.0
Italy,2021-12-12,158547.0,0.0
Italy,2021-12-19,257579.0,0.0
Italy,2021-12-26,644508.0,0.0
Italy,2022-01-02,1014358.0,12.0
Italy,2022-01-09,1268153.0,0.0
Italy,2022-01-16,1231741.0,22.0
Italy,2022-01-23,1040184.0,0.0
Italy,2022-01-30,721418.0,22.0
Italy,2022-02-06,510537.0,23.0
Italy,2022-02-13,374443.0,0.0
Italy,2022-02-20,304907.0,0.0
Italy,2022-02-27,257543.0,0.0
Italy,2022-03-06,332956.0,36.0
Italy,2022-03-13,477000.0,34.0
Italy,2022-03-20,503932.0,12.0
Italy,2022-03-27,486695.0,11.0
Italy,2022-04-03,447322.0,21.0
Italy,2022-04-10,294884.0,12.0
Japan,2020-01-26,18.0,5.0
Japan,2020-02-02,4.0,9.0
Japan,2020-02-09,30.0,8.0
Japan,2020-02-16,83.0,21.0
Japan,2020-02-23,108.0,17.0
Japan,2020-03-01,221.0,39.0
Japan,2020-03-08,329.0,34.0
Japan,2020-03-15,264.0,64.0
Japan,2020-03-22,669.0,83.0
Japan,2020-03-29,1797.0,81.0
Japan,2020-04-05,3426.0,100.0
Japan,2020-04-12,3597.0,59.0
Japan,2020-04-19,2638.0,59.0
Japan,2020-04-26,1675.0,40.0
Japan,2020-05-03,894.0,37.0
Japan,2020-05-10,447.0,38.0
Japan,2020-05-17,208.0,42.0
Japan,2020-05-24,296.0,34.0
Japan,2020-05-31,289.0,28.0
